                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 2.2523,                0.04838,                0.03793,                 1.6443,                 1.2516,                  0.539,                0.51128,                 0.5085,                0.17221,                0.73108,                0.54781,                 0.6689,                0.66754,                 2.2413,                0.04213,                0.00259,                 1.6975,                  1.286,              0.0011288,              0.0011288,              0.0011288
                     47,                   2.26,                0.04836,                0.04124,                 1.6769,                 1.2457,                0.61782,                 0.5421,                0.55272,                0.18836,                 0.7071,                0.57895,                0.66115,                 0.6595,                 2.2686,                  0.044,                0.00304,                 1.6149,                 1.2954,               0.001109,               0.001109,               0.001109
                     48,                 2.2039,                0.04862,                0.04504,                 1.6658,                 1.2361,                0.59445,                0.52331,                0.54579,                0.19551,                0.70694,                0.56992,                0.66422,                0.66228,                  2.221,                0.04398,                0.00313,                 1.6059,                 1.2845,              0.0010892,              0.0010892,              0.0010892
                     49,                  2.244,                0.04645,                0.03528,                 1.6156,                 1.2201,                0.61223,                0.48872,                0.52087,                0.17788,                0.75313,                0.55338,                0.65838,                0.65659,                 2.1854,                0.04314,                0.00239,                  1.721,                 1.2652,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.2294,                0.04648,                0.03772,                 1.6187,                 1.2324,                0.62561,                0.53835,                0.54853,                0.18146,                0.74932,                0.60752,                 0.6939,                 0.6913,                 2.2162,                0.04383,                0.00166,                 1.6299,                  1.274,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.1968,                0.04527,                0.03332,                 1.6213,                 1.2226,                0.59706,                0.53701,                0.55751,                0.20217,                0.68528,                0.57594,                0.65594,                0.65392,                 2.1759,                0.04703,                 0.0015,                 1.6139,                 1.2655,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.2186,                0.04582,                0.04406,                 1.5941,                 1.2326,                0.65573,                0.50827,                 0.5628,                0.19332,                0.76454,                0.58045,                0.69613,                0.69406,                 2.2102,                0.04343,                0.00586,                 1.6204,                 1.2741,                0.00101,                0.00101,                0.00101
                     53,                 2.2069,                0.04805,                0.03936,                 1.6516,                 1.2274,                0.63871,                0.55295,                0.58979,                0.20379,                0.74147,                0.60451,                0.70384,                0.70234,                 2.1866,                0.04407,                0.00202,                 1.5442,                  1.267,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.2607,                 0.0468,                0.04131,                  1.618,                  1.232,                0.57819,                0.54586,                0.56357,                 0.1878,                0.66606,                0.60886,                0.67513,                0.67389,                 2.2005,                0.04111,                 0.0012,                 1.5896,                 1.2669,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.2066,                 0.0469,                0.03515,                 1.6298,                 1.2259,                0.64466,                0.51835,                 0.5622,                0.19628,                0.74338,                0.58195,                0.69038,                0.68825,                 2.2479,                  0.043,                0.00132,                 1.5573,                  1.287,              0.0009506,              0.0009506,              0.0009506
